Format Version,1.22,Take Name,Take 2023-08-14 03.50.08 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,29 Dec 1969 18:31:34 +0200,Total Frames in Take,401,Total Exported Frames,401,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand
,,"44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
228,1.900000,0.972172,-0.128762,0.071394,0.182220,2.258344,1.830934,2.941139
229,1.908333,0.970286,-0.129033,0.075004,0.190446,2.258817,1.827273,2.937274
230,1.916667,0.968216,-0.129357,0.078540,0.199139,2.259356,1.823840,2.933221
231,1.925000,0.965999,-0.129615,0.082063,0.208112,2.259948,1.820628,2.929001
232,1.933333,0.963696,-0.129851,0.085571,0.217042,2.260598,1.817606,2.924614
233,1.941667,0.961274,-0.130226,0.089091,0.225955,2.261297,1.814744,2.920093
234,1.950000,0.958572,-0.131032,0.092749,0.235302,2.262029,1.812013,2.915473
235,1.958333,0.955646,-0.132025,0.096708,0.244865,2.262798,1.809376,2.910774
236,1.966667,0.952658,-0.132882,0.101018,0.254128,2.263606,1.806811,2.906008
237,1.975000,0.949515,-0.133860,0.105744,0.263289,2.264431,1.804268,2.901199
238,1.983333,0.946199,-0.134873,0.111049,0.272371,2.265251,1.801703,2.896353
239,1.991667,0.942742,-0.135879,0.116745,0.281327,2.266045,1.799068,2.891499
240,2.000000,0.939195,-0.136740,0.122354,0.290248,2.266849,1.796319,2.886622
241,2.008333,0.935640,-0.137404,0.127236,0.299181,2.267707,1.793405,2.881698
242,2.016667,0.932264,-0.137517,0.131139,0.307856,2.268627,1.790318,2.876741
243,2.025000,0.929020,-0.137203,0.133963,0.316466,2.269614,1.787048,2.871764
244,2.033333,0.925967,-0.136499,0.135881,0.324792,2.270641,1.783620,2.866832
245,2.041667,0.922956,-0.135721,0.137375,0.332956,2.271670,1.780033,2.862002
246,2.050000,0.919740,-0.135216,0.138652,0.341425,2.272765,1.776159,2.857140
247,2.058333,0.916316,-0.134732,0.139873,0.350212,2.273951,1.771960,2.852217
248,2.066667,0.912144,-0.134836,0.141003,0.360458,2.275244,1.767367,2.847144
249,2.075000,0.907229,-0.135375,0.142038,0.372067,2.276620,1.762353,2.841895
250,2.083333,0.902271,-0.135582,0.143313,0.383388,2.277933,1.756983,2.836693
251,2.091667,0.897346,-0.135379,0.144717,0.394335,2.279179,1.751251,2.831528
252,2.100000,0.892242,-0.134844,0.145635,0.405601,2.280384,1.745126,2.826291
253,2.108333,0.886986,-0.134161,0.146498,0.416887,2.281490,1.738637,2.821061
254,2.116667,0.881543,-0.133395,0.147433,0.428195,2.282453,1.731769,2.815814
255,2.125000,0.875655,-0.132657,0.148476,0.439984,2.283273,1.724487,2.810511
256,2.133333,0.869428,-0.131890,0.150186,0.451824,2.283937,1.716837,2.805247
257,2.141667,0.862647,-0.130955,0.152664,0.464095,2.284477,1.708797,2.799975
258,2.150000,0.855049,-0.129803,0.155963,0.477199,2.284935,1.700307,2.794662
259,2.158333,0.846464,-0.128585,0.160344,0.491177,2.285314,1.691334,2.789309
260,2.166667,0.837055,-0.127065,0.166008,0.505604,2.285644,1.681852,2.783919
