Format Version,1.22,Take Name,Take 2023-07-13 02.27.47 PM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time
,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate
,,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E,11280D71FD611EE8A984076B0403C8E
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
230,1.916667,0.094798,-0.015787,0.045838,-0.994315,2.379133,1.133238,2.579627
231,1.925,0.095639,-0.015605,0.045842,-0.994238,2.379089,1.133021,2.579878
232,1.933333,0.096495,-0.015475,0.0459,-0.994154,2.379057,1.132786,2.580154
233,1.941667,0.097363,-0.015309,0.046021,-0.994066,2.379016,1.132518,2.580465
234,1.95,0.098521,-0.015238,0.046048,-0.993952,2.378951,1.132196,2.580824
235,1.958333,0.099691,-0.014946,0.046225,-0.993832,2.378863,1.131845,2.581182
236,1.966667,0.100711,-0.014539,0.046324,-0.99373,2.378767,1.1315,2.581531
237,1.975,0.101739,-0.014513,0.046069,-0.993638,2.378683,1.131152,2.581902
238,1.983333,0.102463,-0.014489,0.046055,-0.993565,2.37857,1.13078,2.582299
239,1.991667,0.10307,-0.014271,0.046349,-0.993491,2.378445,1.130393,2.582692
240,2,0.104165,-0.014314,0.046532,-0.993368,2.378359,1.130007,2.583095
241,2.008333,0.105363,-0.014604,0.046564,-0.993236,2.37827,1.129601,2.583513
242,2.016667,0.106319,-0.014936,0.046428,-0.993135,2.378159,1.129156,2.583964
243,2.025,0.107321,-0.015231,0.046256,-0.993031,2.378037,1.128706,2.584416
244,2.033333,0.108164,-0.015406,0.04596,-0.992951,2.377917,1.128267,2.584862
245,2.041667,0.109137,-0.015761,0.045687,-0.992851,2.377757,1.127818,2.585329
246,2.05,0.109973,-0.016231,0.045585,-0.992756,2.37754,1.127322,2.585837
247,2.058333,0.110954,-0.016792,0.045387,-0.992647,2.377333,1.126839,2.586316
248,2.066667,0.112108,-0.017355,0.045064,-0.992522,2.377157,1.126388,2.586748
249,2.075,0.113151,-0.017642,0.044882,-0.992407,2.376966,1.125921,2.587197
250,2.083333,0.11426,-0.017909,0.044845,-0.992277,2.376762,1.12544,2.587642
251,2.091667,0.115542,-0.018519,0.044665,-0.992125,2.376582,1.124966,2.588053
252,2.1,0.116686,-0.019121,0.04443,-0.99199,2.376379,1.124491,2.588446
253,2.108333,0.11748,-0.019748,0.043831,-0.991911,2.376143,1.124017,2.588845
254,2.116667,0.118319,-0.020675,0.0426,-0.991846,2.375951,1.123608,2.589172
255,2.125,0.118869,-0.021573,0.04129,-0.991816,2.375762,1.123223,2.589476
256,2.133333,0.118747,-0.022386,0.03984,-0.991872,2.375545,1.122832,2.589796
257,2.141667,0.118447,-0.023195,0.038167,-0.991955,2.375325,1.122453,2.590084
258,2.15,0.118185,-0.024025,0.03648,-0.99203,2.375115,1.122075,2.590338
259,2.158333,0.118167,-0.024807,0.035013,-0.992066,2.374908,1.121698,2.590569
260,2.166667,0.118266,-0.025545,0.033774,-0.992079,2.3747,1.121343,2.590776
261,2.175,0.118454,-0.026312,0.032613,-0.992075,2.374499,1.121012,2.590959
262,2.183333,0.118748,-0.026941,0.031754,-0.992051,2.374318,1.120701,2.591098
263,2.191667,0.118952,-0.0272,0.031568,-0.992025,2.374155,1.120408,2.591188
264,2.2,0.119374,-0.027459,0.031591,-0.991967,2.374031,1.120168,2.59122
265,2.208333,0.119945,-0.02783,0.031554,-0.991889,2.373936,1.119981,2.59121
266,2.216667,0.120129,-0.027959,0.031783,-0.991856,2.373829,1.1198,2.591208
267,2.225,0.120135,-0.027959,0.032089,-0.991845,2.373718,1.119647,2.591205
268,2.233333,0.120041,-0.027942,0.032305,-0.99185,2.373623,1.119553,2.591161
269,2.241667,0.120152,-0.02823,0.032126,-0.991834,2.373546,1.119519,2.591063
270,2.25,0.120204,-0.02852,0.031884,-0.991827,2.37346,1.119504,2.590957
271,2.258333,0.120199,-0.028785,0.03162,-0.991829,2.373384,1.119525,2.590821
272,2.266667,0.120307,-0.029136,0.031243,-0.991817,2.373331,1.119594,2.59064
273,2.275,0.120305,-0.029343,0.031001,-0.991819,2.373286,1.119683,2.590443
274,2.283333,0.120215,-0.029433,0.03091,-0.99183,2.373249,1.119792,2.590232
275,2.291667,0.120036,-0.029457,0.030874,-0.991852,2.373223,1.11992,2.590006
276,2.3,0.119846,-0.029502,0.030899,-0.991873,2.373192,1.120062,2.58978
277,2.308333,0.119638,-0.029495,0.031063,-0.991893,2.373168,1.120237,2.589522
278,2.316667,0.119289,-0.029442,0.031334,-0.991928,2.373152,1.120449,2.589228
279,2.325,0.118917,-0.029477,0.031599,-0.991964,2.373129,1.120681,2.588932
280,2.333333,0.118533,-0.029511,0.031614,-0.992008,2.373099,1.120939,2.588624
281,2.341667,0.118265,-0.029694,0.031441,-0.99204,2.373062,1.121211,2.588313
282,2.35,0.117961,-0.029975,0.031263,-0.992073,2.373018,1.12146,2.588023
283,2.358333,0.117403,-0.030081,0.031162,-0.992139,2.372951,1.121667,2.587767
284,2.366667,0.116812,-0.030125,0.031264,-0.992205,2.372864,1.121833,2.587541
285,2.375,0.11624,-0.030227,0.031433,-0.992263,2.372791,1.121987,2.587324
