Format Version,1.22,Take Name,Take 2023-08-14 03.16.29 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,29 Dec 1969 17:57:55 +0200,Total Frames in Take,301,Total Exported Frames,301,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand
,,"44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
167,1.391667,0.370803,-0.007877,0.225992,0.900761,2.057017,1.308617,2.855776
168,1.400000,0.314504,0.014574,0.229417,0.921001,2.053887,1.269540,2.858102
169,1.408333,0.259876,0.033800,0.227494,0.937853,2.050283,1.232178,2.862391
170,1.416667,0.207758,0.049826,0.221407,0.951490,2.046187,1.197102,2.868603
171,1.425000,0.158434,0.064509,0.213235,0.961909,2.041597,1.164927,2.876474
172,1.433333,0.111333,0.080124,0.204645,0.969178,2.036593,1.136029,2.885579
173,1.441667,0.067205,0.098156,0.198059,0.972945,2.031164,1.110724,2.895485
174,1.450000,0.026518,0.118879,0.195426,0.973126,2.025361,1.089187,2.905793
175,1.458333,-0.010687,0.142101,0.197167,0.969958,2.019294,1.071298,2.916133
176,1.466667,-0.044628,0.167057,0.202465,0.963903,2.013103,1.056801,2.926177
177,1.475000,-0.074592,0.193128,0.211284,0.955247,2.006900,1.045400,2.935690
178,1.483333,-0.099315,0.220227,0.223336,0.944329,2.000816,1.036679,2.944558
179,1.491667,-0.118614,0.247675,0.238030,0.931627,1.994918,1.030295,2.952736
180,1.500000,-0.132809,0.274704,0.254993,0.917539,1.989280,1.025850,2.960161
181,1.508333,-0.142819,0.300425,0.273457,0.902535,1.983980,1.022915,2.966741
182,1.516667,-0.149829,0.323669,0.292063,0.887406,1.979113,1.021134,2.972395
183,1.525000,-0.154592,0.343420,0.308837,0.873375,1.974819,1.020214,2.977100
184,1.533333,-0.157681,0.359094,0.322082,0.861656,1.971217,1.019891,2.980847
185,1.541667,-0.160368,0.370338,0.330719,0.853087,1.968382,1.019975,2.983614
186,1.550000,-0.163528,0.377270,0.333666,0.848288,1.966334,1.020331,2.985493
187,1.558333,-0.166829,0.380484,0.331949,0.846882,1.965048,1.020827,2.986569
188,1.566667,-0.170997,0.380793,0.327344,0.847704,1.964333,1.021373,2.986947
189,1.575000,-0.175636,0.379438,0.320799,0.849863,1.964105,1.021883,2.986715
190,1.583333,-0.180677,0.377129,0.313647,0.852499,1.964229,1.022328,2.985999
191,1.591667,-0.185585,0.374577,0.306294,0.855240,1.964608,1.022696,2.984920
192,1.600000,-0.189789,0.372200,0.299435,0.857780,1.965138,1.023020,2.983596
193,1.608333,-0.192888,0.370306,0.293143,0.860078,1.965754,1.023326,2.982121
194,1.616667,-0.194645,0.369329,0.287261,0.862085,1.966396,1.023633,2.980539
195,1.625000,-0.195370,0.369141,0.281874,0.863778,1.967050,1.023930,2.978891
196,1.633333,-0.195192,0.369712,0.277115,0.865113,1.967705,1.024206,2.977211
197,1.641667,-0.194418,0.370937,0.273081,0.866045,1.968356,1.024433,2.975540
198,1.650000,-0.193524,0.372408,0.269950,0.866596,1.969023,1.024575,2.973898
199,1.658333,-0.192874,0.373970,0.267477,0.866834,1.969754,1.024599,2.972295
200,1.666667,-0.192720,0.375451,0.265336,0.866887,1.970599,1.024498,2.970743
201,1.675000,-0.193400,0.376688,0.263093,0.866882,1.971588,1.024278,2.969246
202,1.683333,-0.195003,0.377525,0.260610,0.866909,1.972745,1.023943,2.967781
203,1.691667,-0.197512,0.377553,0.257799,0.867169,1.974088,1.023524,2.966393
204,1.700000,-0.200725,0.376798,0.254383,0.867768,1.975610,1.023036,2.965079
205,1.708333,-0.204063,0.375500,0.250519,0.868676,1.977294,1.022481,2.963845
206,1.716667,-0.207348,0.373741,0.246197,0.869892,1.979101,1.021900,2.962712
207,1.725000,-0.210511,0.371393,0.241316,0.871504,1.981010,1.021309,2.961689
