Format Version,1.22,Take Name,Take 2023-07-13 11.16.48 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,16 Jan 1970 07:01:01 +0200,Total Frames in Take,1355,Total Exported Frames,1355,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate
,,"11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
182,1.516667,0.014354,-0.068906,0.006541,-0.997498,1.685157,0.609314,0.598699
183,1.525000,0.014386,-0.068814,0.006473,-0.997505,1.685140,0.609289,0.598694
184,1.533333,0.014420,-0.068675,0.006413,-0.997514,1.685134,0.609270,0.598682
185,1.541667,0.014432,-0.068585,0.006374,-0.997521,1.685122,0.609252,0.598670
186,1.550000,0.014516,-0.068513,0.006418,-0.997524,1.685115,0.609242,0.598662
187,1.558333,0.014618,-0.068522,0.006460,-0.997522,1.685119,0.609242,0.598683
188,1.566667,0.015013,-0.068603,0.006155,-0.997512,1.685170,0.609270,0.598727
189,1.575000,0.015063,-0.068626,0.006255,-0.997509,1.685164,0.609259,0.598743
190,1.583333,0.015097,-0.068581,0.006332,-0.997511,1.685151,0.609238,0.598757
191,1.591667,0.015194,-0.068598,0.006426,-0.997508,1.685140,0.609217,0.598776
192,1.600000,0.015579,-0.068676,0.006225,-0.997498,1.685181,0.609232,0.598813
193,1.608333,0.015637,-0.068613,0.006313,-0.997501,1.685178,0.609213,0.598848
194,1.616667,0.015952,-0.068621,0.006199,-0.997496,1.685222,0.609227,0.598890
195,1.625000,0.016124,-0.068573,0.006324,-0.997496,1.685230,0.609215,0.598884
196,1.633333,0.016437,-0.068422,0.006697,-0.997499,1.685291,0.609229,0.598855
197,1.641667,0.016327,-0.068219,0.006641,-0.997515,1.685262,0.609190,0.598842
198,1.650000,0.016325,-0.068113,0.006523,-0.997523,1.685240,0.609169,0.598820
199,1.658333,0.016246,-0.067920,0.006389,-0.997538,1.685214,0.609146,0.598804
200,1.666667,0.016235,-0.067717,0.006246,-0.997553,1.685194,0.609125,0.598782
201,1.675000,0.016833,-0.067451,0.005520,-0.997565,1.685236,0.609101,0.598732
202,1.683333,0.017040,-0.067055,0.005127,-0.997591,1.685226,0.609048,0.598663
203,1.691667,0.017351,-0.066635,0.005188,-0.997613,1.685283,0.609049,0.598588
204,1.700000,0.017341,-0.066421,0.004989,-0.997629,1.685263,0.609013,0.598552
205,1.708333,0.017335,-0.066363,0.004876,-0.997633,1.685231,0.608975,0.598534
206,1.716667,0.017589,-0.066548,0.004578,-0.997618,1.685262,0.608996,0.598559
207,1.725000,0.017551,-0.066504,0.004604,-0.997621,1.685240,0.608979,0.598559
208,1.733333,0.017512,-0.066459,0.004701,-0.997624,1.685213,0.608948,0.598553
209,1.741667,0.017685,-0.066533,0.004730,-0.997616,1.685207,0.608936,0.598541
210,1.750000,0.017697,-0.066481,0.004718,-0.997620,1.685196,0.608913,0.598538
211,1.758333,0.017675,-0.066476,0.004736,-0.997620,1.685185,0.608893,0.598541
212,1.766667,0.017847,-0.066566,0.004730,-0.997611,1.685194,0.608890,0.598536
213,1.775000,0.017863,-0.066534,0.004695,-0.997613,1.685188,0.608875,0.598535
214,1.783333,0.017835,-0.066535,0.004753,-0.997613,1.685184,0.608871,0.598552
215,1.791667,0.017782,-0.066511,0.004735,-0.997616,1.685177,0.608870,0.598563
216,1.800000,0.017688,-0.066550,0.004804,-0.997615,1.685171,0.608881,0.598588
217,1.808333,0.017902,-0.066820,0.004593,-0.997594,1.685211,0.608928,0.598621
218,1.816667,0.017911,-0.066872,0.004606,-0.997590,1.685217,0.608947,0.598616
219,1.825000,0.017854,-0.066882,0.004670,-0.997590,1.685214,0.608967,0.598623
220,1.833333,0.017620,-0.066829,0.004753,-0.997598,1.685194,0.608980,0.598655
221,1.841667,0.017737,-0.067008,0.004610,-0.997584,1.685235,0.609027,0.598734
222,1.850000,0.017713,-0.067034,0.004776,-0.997582,1.685243,0.609048,0.598791
223,1.858333,0.017380,-0.067035,0.005174,-0.997586,1.685243,0.609076,0.598906
224,1.866667,0.017132,-0.066983,0.005550,-0.997592,1.685252,0.609104,0.599038
225,1.875000,0.016565,-0.066790,0.005584,-0.997614,1.685285,0.609154,0.599159
226,1.883333,0.016254,-0.066703,0.005600,-0.997625,1.685335,0.609204,0.599259
227,1.891667,0.016235,-0.066746,0.005547,-0.997623,1.685392,0.609252,0.599338
228,1.900000,0.016152,-0.066734,0.005582,-0.997625,1.685410,0.609266,0.599399
229,1.908333,0.016149,-0.066744,0.005643,-0.997624,1.685415,0.609269,0.599432
230,1.916667,0.016636,-0.066919,0.006088,-0.997601,1.685395,0.609238,0.599459
